Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
MCI_LOAD,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_MARK,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_MONITOR,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_OPEN,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_PASTE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_PAUSE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_PLAY,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_PUT,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_QUALITY,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_REALIZE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_RECORD,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_RESERVE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_RESTORE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_RESUME,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SAVE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SEEK,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SET,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SETAUDIO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SETTIMECODE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SETTUNER,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SETVIDEO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SIGNAL,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SPIN,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_STATUS,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_STEP,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_STOP,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SYSINFO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_UNDO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_UNFREEZE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_UPDATE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_WHERE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_WINDOW,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
break,Yes,Yes,Yes,string/mm, -, -,,,No,command string
capability,Yes,Yes,Yes,string/mm, -, -,,,No,command string
capture,Yes,Yes,Yes,string/mm, -, -,,,No,command string
close,Yes,Yes,Yes,string/mm, -, -,,,No,command string
configure,Yes,Yes,Yes,string/mm, -, -,,,No,command string
copy,Yes,Yes,Yes,string/mm, -, -,,,No,command string
cue,Yes,Yes,Yes,string/mm, -, -,,,No,command string
cut,Yes,Yes,Yes,string/mm, -, -,,,No,command string
delete,Yes,Yes,Yes,string/mm, -, -,,,No,command string
escape,Yes,Yes,Yes,string/mm, -, -,,,No,command string
freeze,Yes,Yes,Yes,string/mm, -, -,,,No,command string
index,Yes,Yes,Yes,string/mm, -, -,,,No,command string
info,Yes,Yes,Yes,string/mm, -, -,,,No,command string
list,Yes,Yes,Yes,string/mm, -, -,,,No,command string
load,Yes,Yes,Yes,string/mm, -, -,,,No,command string
mark,Yes,Yes,Yes,string/mm, -, -,,,No,command string
monitor,Yes,Yes,Yes,string/mm, -, -,,,No,command string
open,Yes,Yes,Yes,string/mm, -, -,,,No,command string
paste,Yes,Yes,Yes,string/mm, -, -,,,No,command string
pause,Yes,Yes,Yes,string/mm, -, -,,,No,command string
play,Yes,Yes,Yes,string/mm, -, -,,,No,command string
put,Yes,Yes,Yes,string/mm, -, -,,,No,command string
quality,Yes,Yes,Yes,string/mm, -, -,,,No,command string
realize,Yes,Yes,Yes,string/mm, -, -,,,No,command string
record,Yes,Yes,Yes,string/mm, -, -,,,No,command string
reserve,Yes,Yes,Yes,string/mm, -, -,,,No,command string
restore,Yes,Yes,Yes,string/mm, -, -,,,No,command string
resume,Yes,Yes,Yes,string/mm, -, -,,,No,command string
save,Yes,Yes,Yes,string/mm, -, -,,,No,command string
seek,Yes,Yes,Yes,string/mm, -, -,,,No,command string
set,Yes,Yes,Yes,string/mm, -, -,,,No,command string
setaudio,Yes,Yes,Yes,string/mm, -, -,,,No,command string
settimecode,Yes,Yes,Yes,string/mm, -, -,,,No,command string
settuner,Yes,Yes,Yes,string/mm, -, -,,,No,command string
setvideo,Yes,Yes,Yes,string/mm, -, -,,,No,command string
signal,Yes,Yes,Yes,string/mm, -, -,,,No,command string
spin,Yes,Yes,Yes,string/mm, -, -,,,No,command string
status,Yes,Yes,Yes,string/mm, -, -,,,No,command string
step,Yes,Yes,Yes,string/mm, -, -,,,No,command string
stop,Yes,Yes,Yes,string/mm, -, -,,,No,command string
sysinfo,Yes,Yes,Yes,string/mm, -, -,,,No,command string
undo,Yes,Yes,Yes,string/mm, -, -,,,No,command string
unfreeze,Yes,Yes,Yes,string/mm, -, -,,,No,command string
update,Yes,Yes,Yes,string/mm, -, -,,,No,command string
where,Yes,Yes,Yes,string/mm, -, -,,,No,command string
window,Yes,Yes,Yes,string/mm, -, -,,,No,command string
CMC_X_COM_ATTACH_CHARPOS,Yes,Yes,No,CMC (MAPI), -,xcmcext.h,,Since MAPI 1.0,No,data extension
CMC_X_COM_CAN_SEND_RECIP,Yes,Yes,No,CMC (MAPI), -,xcmcext.h,,Since MAPI 1.0,No,data extension
